Season;Team;cum_mean_GF;cum_mean_GA;cum_mean_Shots;cum_mean_ShotsOT;cum_mean_Corners;cum_mean_Fouls;cum_mean_YC;cum_mean_RC;cum_mean_Points;cum_count_GF;cum_count_GA;cum_count_Shots;cum_count_ShotsOT;cum_count_Corners;cum_count_Fouls;cum_count_YC;cum_count_RC;cum_count_Points
Season 4;Crystal Palace;1.0344003586989132;1.3596442863117826;12.499364011736324;4.345823682630259;4.320581255421826;11.478954624961146;1.583127402072563;0.023957480463676312;1.1850487502639073;703;703;703;703;703;703;703;703;703
Season 4;Everton;0.9364670209059227;1.4160033452141374;13.924642626611794;4.7566935744389705;5.217696876287299;11.801791846430485;1.8906291815677456;0.039045502130645345;0.9844040611664142;703;703;703;703;703;703;703;703;703
Season 4;Fulham;1.1976261260803291;1.5830266613100765;11.222137667462631;3.8305874959645334;5.02566451331067;9.509718250207458;2.12385848645256;0.1776593869806061;1.2324439943799752;703;703;703;703;703;703;703;703;703
Season 4;Liverpool;2.157122206430652;0.9146198360856501;17.914990160642542;5.891527364053624;6.655723534272423;11.479218098752176;1.7634951114635282;0.26097678602344887;2.1728650572769332;703;703;703;703;703;703;703;703;703
Season 4;Luton;1.098013814875074;2.0779004845772544;11.213637193439899;2.91657987093286;5.439975349037032;11.38656290693392;1.8178800009437681;0.0;0.6024784582399476;703;703;703;703;703;703;703;703;703
Season 4;Man City;2.340818963629039;0.8601643190972856;16.869427238470056;6.827820057597041;6.688108906183891;8.20601046476775;1.4448320997926247;0.08952584135402253;2.3084346160492686;703;703;703;703;703;703;703;703;703
Season 4;Man United;1.209077610946677;1.3556168016341077;14.51328817779423;4.620049442086746;6.433160800887566;10.288259537445661;2.276049791508822;0.021601506068228235;1.6021742959447653;703;703;703;703;703;703;703;703;703
Season 4;Newcastle;2.1962725374599543;1.3570252992846743;13.674277281890502;5.771291064489997;4.520376066876219;10.707703743730066;2.4610779846151427;0.0072214522330341585;1.5247168869873624;703;703;703;703;703;703;703;703;703
Season 4;Nott'm Forest;1.1789044725531288;1.641561138239726;10.535609547013149;3.3637879717992796;3.613450875134076;10.829278222626481;2.317821015733029;0.1372422670743221;0.939034403700898;703;703;703;703;703;703;703;703;703
Season 4;Sheffield United;0.7910413775914409;2.424364110194741;8.57899911524064;2.8662933500687355;3.5356779584678995;11.7377442200613;2.7122880421627102;0.1111574941243998;0.35728409276737993;703;703;703;703;703;703;703;703;703
